iter	Passed	Remaining
691	87919	39131
692	88083	39021
693	88249	38911
694	88409	38798
695	88561	38682
696	88706	38562
697	88826	38432
698	88946	38301
699	89055	38166
700	89156	38028
701	89263	37892
702	89368	37755
703	89470	37618
704	89601	37492
705	89721	37362
706	89852	37237
707	89975	37108
708	90073	36969
709	90181	36834
710	90291	36700
711	90390	36562
712	90512	36433
713	90639	36306
714	90747	36172
715	90863	36040
716	90970	35905
717	91107	35783
718	91273	35671
719	91456	35566
720	91617	35452
721	91759	35331
722	91892	35206
723	92014	35077
724	92151	34953
725	92273	34825
726	92381	34690
727	92514	34566
728	92672	34450
729	92790	34319
730	92932	34198
731	93039	34063
732	93152	33931
733	93272	33801
734	93426	33684
735	93559	33559
736	93691	33434
737	93829	33310
738	93958	33184
739	94114	33067
740	94232	32936
741	94374	32814
742	94534	32699
743	94685	32579
744	94819	32455
745	94965	32334
746	95085	32204
747	95224	32080
748	95325	31944
749	95422	31807
750	95573	31688
751	95718	31566
752	95866	31446
753	96013	31325
754	96118	31190
755	96228	31058
756	96332	30923
757	96462	30796
758	96594	30671
759	96694	30535
760	96793	30399
761	96904	30266
762	97015	30134
763	97135	30005
764	97265	29878
765	97395	29752
766	97537	29629
767	97677	29506
768	97848	29392
769	98021	29279
770	98170	29158
771	98319	29037
772	98465	28915
773	98592	28788
774	98718	28660
775	98826	28527
776	98931	28393
777	99054	28264
778	99160	28131
779	99273	28000
780	99406	27874
781	99521	27743
782	99620	27608
783	99735	27478
784	99852	27348
785	99992	27224
786	100111	27094
787	100233	26966
788	100347	26835
789	100465	26706
790	100580	26575
791	100700	26446
792	100842	26323
793	100992	26202
794	101144	26081
795	101328	25968
796	101483	25848
797	101635	25727
798	101762	25599
799	101871	25467
800	101984	25336
801	102093	25205
802	102232	25080
803	102365	24954
804	102509	24831
805	102628	24702
806	102767	24577
807	102930	24458
808	103065	24333
809	103147	24195
810	103195	24049
811	103247	23904
812	103294	23759
813	103345	23614
814	103405	23472
815	103472	23332
816	103527	23189
817	103592	23048
818	103650	22906
